@relation mcc_aut



@attribute mcc_aut {a, b, c, d,e, f, g, h, i}

@attribute text String



@data
a,'Para verificar anomalías fisiológicas en el cádaver'
d,'En todos los casos debe solicitarse'
d,'Siempre debe solicitarse'
d,'En todos los casos debe pedirse'
d,'En todos los casos debe realizarse'
d,'Siempre debe realizarse'
d,'Siempre hay motivos'
d,'Constantemente hay motivos'
d,'En todo momento hay motivos'
d,'Los motivos están siempre'
d,'Siempre existen motivos'
d,'Siempre es pertinente'
d,'Siempre es necesaria'
d,'Evolución no habitual de una patología'
d,'Evolución poco frecuente de una patología'
d,'Evolución no habitual de una enfermedad'
d,'Desarrollo no habitual de una patología'
d,'Desarrollo no habitual de una enfermedad'
d,'Desarrollo poco frecuente de una enfermedad'
d,'Evolución rara de una patología'
d,'Evolución rara de una enfermedad'
a,'Desconocimiento diagnóstico'
a,'Poca claridad del diagnóstico'
a,'No conocimiento del diagnóstico'
a,'Falta de conocimiento del diagnóstico'
a,'Diagnóstico poco claro'
a,'Discrepancia diagnóstica'
a,'Polémica diagnóstica'
a,'Divergencia diagnóstica'
a,'Discrepancia del diagnóstico'
a,'Poca claridad del diagnóstico'
c,'Investigación médica'
c,'Investigación científica'
c,'Indagación médica'
c,'Estudio médico'
c,'Estudio científico'
c,'Conocer la situación de manera anatomoclínica de un órgano, aparato o sistema para correlacionar con hallazgos clínicos y diagnóstico'
c,'Conocer situación anatomoclínica de un órgano para correlacionar con hallazgos clínicos y diagnóstico'
c,'Conocer situación anatomoclínica de un aparato o sistema para correlacionar con hallazgos clínicos y diagnóstico'
c,'Conocer correlación de un órgano o sistema con hallazgos clínicos y diagnóstico'
c,'Conocer anatomoclínicamente situación de un órgano para correlacionar con hallazgos clínicos y diagnóstico'
c,'Estudiar la situación de manera anatomoclínica de un órgano, aparato o sistema para correlacionar con hallazgos clínicos y diagnóstico'
c,'Estudiar situación anatomoclínica de un órgano para correlacionar con hallazgos clínicos y diagnóstico'
c,'Estudiar situación anatomoclínica de un aparato o sistema para correlacionar con hallazgos clínicos y diagnóstico'
c,'Estudiar correlación de un órgano o sistema con hallazgos clínicos y diagnóstico'
c,'Estudiar anatomoclínicamente situación de un órgano para correlacionar con hallazgos clínicos y diagnóstico'
c,'Entender la situación de manera anatomoclínica de un órgano, aparato o sistema para correlacionar con hallazgos clínicos y diagnóstico'
c,'Entender situación anatomoclínica de un órgano para correlacionar con hallazgos clínicos y diagnóstico'
c,'Entender situación anatomoclínica de un aparato o sistema para correlacionar con hallazgos clínicos y diagnóstico'
c,'Entender correlación de un órgano o sistema con hallazgos clínicos y diagnóstico'
c,'Entender anatomoclínicamente situación de un órgano para correlacionar con hallazgos clínicos y diagnóstico'
a,'Problema diagnóstico'
a,'Dificultad del diagnóstico'
a,'Deficiencia del diagnóstico'
a,'Poca certeza del diagnóstico'
a,'Diagnóstico con problema'
a,'Diagnóstico con dificultad'
b,'Caso médico legal'
b,'Caso legal'
b,'Caso cinetífico legal'
b,'Caso de importancia legal'
b,'Caso con implicaciones legales'
c,'Caso de investigación'
c,'Caso investigativo'
c,'Asunto de investigación'
c,'Asunto investigativo'
c,'Caso para investigar'
b,'Problemas legales'
b,'Dificultades legales'
b,'Cuestiones legales'
b,'Asuntos legales'
b,'Temas legales'
b,'Problemas jurídicos'
b,'Cuestiones de ley'
b,'Problemas de ley'
b,'Aspectos médicos-legales'
b,'Temas médicos-legales'
b,'Asuntos médicos-legales'
b,'Cuestiones médicos-legales'
b,'Problemas médicos-legales'
b,'Asesinato' 
b,'Homicidio'
c,'Investigación'
c,'Indagación'
c,'Pesquisa'
c,'Averiguación'
b,'Algún caso legal'
b,'Algún caso jurídico'
b,'Algún problema legal'
b,'Algún asunto legal'
b,'Algún problema jurídico'
b,'Algún asunto jurídico'
a,'Sospecha de algún diagnóstico establecido'
a,'Sospecha del diagnóstico establecido'
a,'Duda de algún diagnóstico establecido'
a,'Duda del diagnóstico establecido'
a,'Sospecha del cuadro clínico establecido'
a,'Duda del cuadro clínico establecido'
a,'Duda en relación al diagnóstico de defunción o causa'
a,'Duda sobre el diagnóstico de defunción o causa'
a,'Sospecha en relación al diagnóstico de defunción o causa'
a,'Duda en relación al diagnóstico de fallecimiento'
a,'Sospecha en relación al diagnóstico de fallecimiento'
a,'Muerte súbita en un paciente aparentemente sano'
a,'Muerte repentina en un paciente aparentemente sano'
a,'Fallecimiento repentino en un paciente aparentemente sano'
a,'Fallecimiento súbito en un paciente aparentemente sano'
a,'Muerte súbita en una persona aparentemente sana'
a,'Afirmar diagnósticos'
a,'Confirmar diagnósticos'
a,'Validar diagnósticos'
a,'Verificar diagnósticos'
a,'Comprobar diagnósticos'
c,'Determinar diagnósticos'
c,'Establecer diagnósticos'
c,'Hacer diagnósticos'
c,'Afirmar diagnósticos'
d,'Enfermedades o patologías congénitas extrañas'
d,'Enfermedades congénitas extrañas'
d,'Patologías congénitas extrañas'
d,'Enfermedades o patologías congénitas raras'
d,'Enfermedades o patologías congénitas poco claras'
d,'Enfermedades o patologías extrañas'
d,'Enfermedades congénitas raras'
d,'Patologías congénitas raras'
d,'Enfermedades congénitas poco claras'
d,'Patologías congénitas poco claras'
a,'Cuando la causa de la muerte no es totalmente clara'
a,'Cuando la causa de la muerte es poco clara'
a,'Cuando la causa de la muerte no está clara'
a,'Cuando la causa de la muerte no está totalmente definida'
a,'Cuando la causa de la muerte no está totalmente establecida'
a,'Cuando la causa de la defunción no es totalmente clara'
a,'Cuando la causa del fallecimiento no es totalmente clara'
a,'Se requiere confirmar un diagnóstico'
a,'Se requiere afirmar un diagnóstico'
a,'Se requiere verificar un diagnóstico'
a,'Se requiere comprobar un diagnóstico'
a,'Se necesita confirmar un diagnóstico'
a,'Se necesita comprobar un diagnóstico'
e,'Cuando los datos clínicos y de laboratorio no son congruentes con la evolución del paciente'
e,'Cuando los datos no son congruentes con la evolución del paciente'
e,'Cuando los datos clínicos y de laboratorio no son congruentes con la evolución del caso'
e,'Cuando los datos clínicos y de laboratorio no se corresponden con la evolución del paciente'
e,'Cuando los datos clínicos y de laboratorio no se corresponden con la evolución del caso'
e,'Ante la no correspondencia de los datos clínicos y de laboratorio con la evolución del paciente'
e,'Ante la no correspondencia de los datos clínicos y de laboratorio con la evolución del caso'
c,'Cuando no se tiene claramente las causas de la defunción'
c,'Cuando no se tiene claras las causas de la defunción'
c,'Cuando no se tiene claramente las causas de la muerte'
c,'Cuando no se tiene claras las causas de la muerte'
c,'Ante la poca claridad de las causas de la defunción'
c,'Ante la poca claridad de las causas de la muerte'
c,'Cuando no se tiene claramente las causas del fallecimiento'
a,'Cuando el paciente fallece y no se tienen datos definitivos'
a,'Cuando el paciente muere y no se tienen datos definitivos'
a,'Cuando el paciente fallece y no se tienen datos conclusivos'
a,'Cuando la persona fallece y no se tienen datos definitivos'
a,'Cuando la persona muere y no se tienen datos conclusivos'
d,'Ya se tiene como población blanco de estudio para las necropsias a las muertes maternas. Las cuáles de manera rigurosa debería realizarse en este hospital, se tenga claro o no las causas de la defunción'
d,'A las muertes maternas deben hacérsele autopsias siempre en este hospital, se conozcan o no las causas'
d,'Las muertes maternas son población blanco de estudio para las necropsias'
d,'Las autopsias de las muertes maternas deberían realizarse de forma rigurosa, sin importar causas de defunción'
d,'En este hospital deberían realizarse rigurosamente las necropsias de las muertes maternas'
c,'Establecer diagnóstico'
c,'Afirmar diagnóstico'
c,'Hacer diagnóstico'
c,'Llegar a un diagnóstico'
f,'Ofrecer consejería a familiares en caso de enfermedades infecciosas o congénitas'
f,'Ofrecer asesoría a la familia en caso de enfermedades infecciosas o congénitas'
f,'Brindar consejería a familiares en caso de enfermedades infecciosas o congénitas'
f,'Dar consejos a la familia en caso de enfermedades infecciosas o congénitas'
f,'Ofrecer consejería a la familia ante casos de enfermedades infecciosas o congénitas'
c,'Aprendizaje'
c,'Conocimiento'
c,'Enseñanza'
a,'Dudas diagnósticas'
a,'Incertidumbre diagnóstica'
a,'Poca claridad diagnóstica'
a,'Dudas en el diagnóstico'
a,'Poca claridad en el diagnóstico'
b,'Problemas legales'
b,'Dudas legales'
b,'Cuestiones legales'
b,'Asuntos legales'
b,'Litigios legales'
b,'Problemas jurídicos'
b,'Asuntos jurídicos'
c,'Con fines de investigación'
c,'Con fines investigativos'
c,'Con objetivos de investigación'
c,'Con objetivos investigativos'
c,'Para la investigación'
b,'Sospecha de asesinato'
b,'Sospecha de homicidio'
b,'Duda de asesinato'
b,'Duda de homicidio'
a,'Incertidumbre en los diagnósticos'
a,'Duda en los diagnósticos'
a,'Poca claridad en los diagnósticos'
a,'Incertidumbre en el diagnóstico'
a,'Duda en el diagnóstico'
a,'Poca claridad en el diagnóstico'
a,'Para diagnóstico patológico y correlacionarlo clínicamente'
a,'Para diagnóstico patológico y su correlación clínica'
a,'Para diagnosticar y hacer la correlación clínica'
a,'Para diagnosticar y correlacionar clínicamente'
a,'Para hacer un diagnóstico patológico y su correlación clínica'
a,'Diagnóstico elaborado clínicamente incierto'
a,'Diagnóstico realizado clínicamente incierto'
a,'Diagnóstico elaborado poco claro'
a,'Diagnóstico elaborado incierto'
a,'Diagnóstico clínicamente incierto'
a,'Diagnóstico realizado clínicamente poco claro'
a,'Para confirmar un diagnóstico'
a,'Para corroborar un diagnóstico'
a,'Para afirmar un diagnóstico'
a,'Para reafirmar un diagnóstico'
a,'Para fortalecer un diagnóstico'
c,'Para llevar un diagnóstico'
c,'Para desarrollar un diagnóstico'
c,'Para hacer un diagnóstico'
c,'Para llegar a un diagnóstico'
a,'Cuando no se conocen las causas específicas de la muerte de un paciente'
a,'Cuando se desconocen las causas específicas de la muerte de un paciente'
a,'Cuando se desconocen las causas específicas del fallecimiento de una persona'
a,'Cuando no se conocen las causas específicas del deceso de una persona'
a,'Cuando no están claras las causas específicas de la muerte de un paciente'
a,'Cuando no están claras las causas específicas del fallecimiento de una persona'
b,'Causas legales: homicidio, suicidio'
b,'Motivos legales: homicidio, suicidio'
b,'Causas legales: asesinato, suicidio'
b,'Cuestiones legales: homicidio, suicidio'
b,'Asuntos legales: homicidio, suicidio'
a,'Muerte súbita o incierta'
a,'Muerte repentina o incierta'
a,'Muerte súbita o poco clara'
a,'Muerte repentina o poco clara'
a,'Muerte sospechosa'
g,'Pensando que no recibió tratamiento adecuado'
g,'Pensando que no tuvo tratamiento adecuado'
g,'Que no recibió tratamiento adecuado'
g,'Que no tuvo tratamiento adecuado'
b,'La autopsia, según mi criterio llega a resolver sobre todo algún problema de tipo legal'
b,'La autopsia resuelve problemas de tipo legal'
b,'La autopsia resuelve problemas jurídicos'
b,'La autopsia resuelve litigios legales'
b,'La autopsia resuelve problemas de ley'
b,'La autopsia llega a resolver problemas de tipo legal'
b,'La autopsia llega a resolver problemas jurídicos'
b,'La autopsia llega a resolver litigios legales'
b,'La autopsia llega a resolver problemas de ley'
b,'La autopsia da soluciones a problemas de ley'
b,'La autopsia da soluciones a problemas de tipo legal'
b,'La autopsia da soluciones a problemas jurídicos'
b,'La autopsia da soluciones a litigios legales'
c,'En segundo término queda el aprendizaje en casos complicados'
c,'Las autopsias favorecen el aprendizaje en casos complicados'
c,'Las autopsias permiten el aprendizaje en casos complicados'
c,'Las autopsias permiten aprender en casos complicados'
c,'Las autopsias favorecen el aprendizaje en casos poco claros'
a,'No tener diagnóstico de certeza'
a,'No tener diagnóstico de seguridad'
a,'No tener diagnóstico claro'
a,'Carecer de diagnóstico de certeza'
a,'Carecer de diagnóstico caro'
a,'No disponer de un diagnóstico de certeza'
a,'No disponer de un diagnóstico claro'
c,'Dudas respecto al motivo de defunción'
c,'Dudas respecto al motivo del fallecimiento'
c,'Dudas respecto al motivo de muerte'
c,'Dudas respecto a las causa de defunción'
c,'Inquietudes respecto al motivo de defunción'
c,'Inquietudes respecto a la causa de defunción'
c,'Los motivos pueden ser con fines didácticos y/o de investigación'
c,'Fines didácticos y de investigación'
c,'Fines didácticos o de investigación'
c,'Fines educativos y de investigación'
c,'Objetivos didácticos y/o de investigación'
c,'Objetivos educativos y/o de investigación'
g,'Para establecer tratamientos en casos similares'
g,'Para establecer tratamientos en casos parecidos'
g,'Para fijar tratamientos en casos similares'
g,'Para fijar tratamientos en casos parecidos'
g,'Para determinar tratamientos en casos similares'
a,'Conocer la causa real de la muerte del paciente'
a,'Conocer el motivo real de la muerte del paciente'
a,'Conocer la causa real del fallecimiento del paciente'
a,'Conocer la causa real de la defunción del paciente'
a,'Conocer el motivo real del fellecimiento del paciente'
b,'Cuando la muerte es causada por traumatismo'
b,'Cuando la muerte es debido a traumatismo'
b,'Cuando la muerte es consecuencia de traumatismo'
b,'Muerte por traumatismo'
b,'Fallecimiento por traumatismo'
g,'Saber a ciencia cierta si diagnóstico y tratamiento fue acorde a la enfermedad'
g,'Saber con exactitud si diagnóstico y tratamiento fue acorde a la enfermedad'
g,'Conocer si diagnóstico y tratamiento fue acorde a la enfermedad'
g,'Conocer coherencia de diagnóstico y tratamiento con la enfermedad'
g,'Conocer con exactitud si diagnóstico y tratamiento fueron acordes a la enfermedad'
a,'Saber causa de muerte cuando no fue posible diagnóstico clínico de certeza'
a,'Conocer causa de fallecimiento ante diagnósticos clínicos poco claros'
a,'Saber causa de muerte ante diagnósticos clínicos poco claros'
a,'Saber causa de muerte cuando no se pudo hacer un diagnóstico clínico de certeza'
a,'Determinar causa de fallecimiento ante diagnóstico clínico incierto'
e,'Ajena al diagnóstico'
e,'No relacionada con el diagnóstico'
e,'Incoherente con el diagnóstico'
b,'Causa de muerte traumática o intencional'
b,'Causa de deceso traumática o intencional'
b,'Causa de fallecimiento traumática o intencional'
b,'Motivo de muerte traumático o intencional'
b,'Motivo de fallecimiento traumático o intencional'
b,'Muerte por causas traumáticas o intencionales'
a,'Para conocer el diagnóstico definitivo' 
a,'Para llegar a un diagnóstico definitivo'
a,'Dar un diagnóstico definitivo'
a,'Para conocer el diagnóstico final'
a,'Dar un diagnóstico final'
a,'Establecer el diagnóstico definitivo'
i,'Caso de difícil diagnóstico'
i,'Caso diagnóstico difícil'
i,'Caso de complicado diagnóstico'
i,'Caso de diagnóstico complicado'
i,'Caso de diagnóstico incierto'
a,'Dudas en cuanto el diagnóstico clínico y bioquímico'
a,'Dudas sobre el diagnóstico clínico y bioquímico'
a,'Incertidumbre sobre el diagnóstico clínico y bioquímico'
a,'Diagnóstico clínico y bioquímico no definitivo'
a,'Inquietudes en cuanto el diagnóstico clínico y bioquímico'
d,'No contesta'
b,'Solicitan autopsias con fines legales, demandas'
b,'Piden autopsias con fines legales, demandas'
b,'Requieren autopsias con fines legales, demandas'
b,'Solicitan autopsias para cuestiones legales y demandas'
b,'Requieren autopsias para asuntos legales y demandas'
h,'Así como inconformidad de los familiares con la atención médica prestada al paciente'
h,'Ante descontento de la familia con la atención médica prestada al fallecido'
h,'Ante inconformidad de los familiares con la atención dada al paciente'
h,'Por inconformidad de los familiares con la atención médica dada al finado'
h,'Por insatisfacciones de la familia con la atención médica prestada al fallecido'
a,'Necesidad de conocer de manera precisa la causa primaria que desencadenó la defunción'
a,'Necesidad de saber con exactitud la causa que provocó la defunción'
a,'Necesidad de conocer con precisión el motivo primario que desencadenó la muerte'
a,'Necesidad de determinar de forma precisa la causa primaria que provocó el fallecimiento'
a,'Requerimiento de conocer la causa principal que desencadenó la defunción'
b,'En el terreno legal, para conocer el origen de una lesión y su probable mecanismo de daño para poder dar lugar a una investigación más exhaustiva de un asesinato'
b,'Las autopsias permiten investigar mejor los asesinatos'
b,'Las autopsias permiten investigar mejor los homicidios'
b,'Las autopsias favorecen mejores investigaciones de asesinatos'
b,'Las autopsias contribuyen a esclarecer los asesinatos'
c,'Interés académico'
c,'Interés científico'
c,'Interés didáctico'
c,'Interés educativo'
c,'Relevancia académica'
c,'Importancia académica'
a,'Tener duda diagnóstica'
a,'Tener inquietud diagnóstica'
a,'Poca seguridad diagnóstica'
a,'Incertidumbre diagnóstica'
i,'Cuando se trata de un caso de diagnóstico difícil'
i,'Cuando se lidia con un caso de diagnóstico difícil'
i,'Cuando se trata de un caso de difícil diagnóstico'
i,'Cuando se trata de un caso de diagnóstico complicado'
i,'Cuando se trata de un fallecimiento de diagnóstico difícil'
i,'Cuando se trata de una muerte de diagnóstico difícil'
a,'Cuando no se llegó a diagnóstico'
a,'Cuando no se estableció diagnóstico'
a,'Cuando no se definió diagnóstico'
a,'Cuando no se determinó un diagnóstico'
c,'Caso útil para investigación y enseñanza'
c,'Caso relevante para investigación y enseñanza'
c,'Caso útil para estudios y educación'
c,'Caso importante para investigar y enseñar'
c,'Caso trascendente para investigación y enseñanza'
d,'Cuando puede tener repercusiones sobre la salud comunitaria'
d,'Cuando puede tener repercusión en la salud comunitaria'
d,'Cuando puede tener repercusiones sobre la salud de la comunidad'
d,'Cuando pueden haber repercusiones en la salud comunitaria'
e,'Por causas del fallecimiento que no concuerden con el estado de salud del paciente y el tiempo que sucedió'
e,'Por no concordancia de las causas del fallecimiento con el estado de salud del paciente y el tiempo en que ocurrió'
e,'Por motivos de muerte que no concuerden con el estado de salud del paciente y el tiempo en que tuvo lugar'
e,'Por falta de concordancia entre las causas de muerte con la salud del fallecido y el tiempo en que falleció'
e,'Ante incoherencias entre las causas del deceso con la salud del paciente y el tiempo que sucedió'
e,'Discrepancias clínicas'
e,'Divergencias clínicas'
e,'Discrepancias médicas'
e,'Divergencias médicas'
e,'Incoherencias clínicas'
i,'Casos de difícil diagnóstico'
i,'Casos de diagnóstico difícil'
i,'Casos de diagnóstico complicado'
i,'Casos de duro diagnóstico'
i,'Casos de extraño diagnóstico'
a,'No se logró definir en base a la clínica y estudios previos al fallecimiento'
a,'No se pudo definir atendiendo a la clínica y estudios previos al deceso'
a,'No se logró establecer en base a la clínica y estudios previos a la muerte'
a,'Imposibilidad de definir sobre la clínica y estudios previos al fallecimiento'
a,'No se definió en base a la clínica y análisis anteriores al deceso'
c,'Determinar diagnósticos'
c,'Establecer diagnósticos'
c,'Definir diagnósticos'
c,'Llegar a un diagnóstico'
a,'Determinación precisa de la patología que causó la defunción y la afectación a diferentes órganos'
a,'Determinación exacta de la enfermedad que causó la muerte y la afectación a distintos órganos'
a,'Establecimiento preciso de la patología que provocó la defunción y su impacto en diferentes órganos'
a,'Determinación de la enfermedad que provocó el fallecimiento y la afectación a diferentes órganos'
a,'Descubrimiento de la condición que llevó a la muerte y daños a distintos órganos'
b,'Casos de muerte por violencia en los que haya implicaciones legales'
b,'Casos de fallecimiento por violencia con implicaciones legales'
b,'Casos de muertes violentas con repercusión legal'
b,'Ejemplos de defunciones por violencia en los que haya implicaciones legales'
b,'Ejemplos de muertes violentas con implicaciones legales'
a,'Confirmar la causa de muerte'
a,'Establecer la causa de muerte'
a,'Dictaminar la causa de muerte'
a,'Confirmar la causa de deceso'
a,'Confirmar la causa de fallecimiento'
a,'Establecer el motivo de muerte'
i,'Buscar alguna otra causa de muerte'
i,'Buscar más causas de muerte'
i,'Hallar otra causa de muerte'
i,'Encontrar otra causa de muerte'
i,'Buscar otra causa de deceso'
i,'Buscar otros motivos de muerte'
c,'Educación'
c,'Formación'
c,'Enseñanza'
c,'Preparación continua del personal médico'
c,'Formación constante del personal médico'
c,'Preparación constante del personal clínico'
c,'Capacitación continua del personal médico'
c,'Capacitación constante del personal clínico'
e,'Discrepancia entre el diagnóstico y la causa de muerte'
e,'Divergencia entre diagnóstico y causa de muerte'
e,'Incoherencia entre diagnóstico y motivo de muerte'
e,'Discrepancias entre diagnóstico y causa de muerte'
e,'No concordancia entre el diagnóstico y la causa del deceso'
c,'Muerte de causa desconocida'
c,'Muerte de causa no conocida'
c,'Fallecimiento de causa desconocida'
c,'Deceso sin conocida'
c,'Muerte sin causa conocida'
c,'Académico'
c,'Educativo'
c,'Formativo'
c,'Didáctico'
a,'Porque se desconozca la causa con seguridad de muerte'
a,'Porque no se conozca la causa de muerte'
a,'Porque se desconozca el motivo del fallecimiento'
a,'Porque no se conozca la causa del deceso'
a,'Desconocimiento de la causa de muerte'
c,'Cuando existe duda clínica de la causa de muerte'
c,'Cuando hay incertidumbre clínica de la causa de muerte'
c,'Cuando hay duda clínica del motivo de muerte'
c,'Cuando no hay claridad clínica de la causa del fallecimiento'
c,'Cuando existe duda sobre el motivo del deceso'
g,'En caso de muerte por probable respuesta a tratamiento'
g,'En caso de fallecimiento por posibles reacciones al tratamiento'
g,'Ante muertes por probables respuestas a tratamiento'
g,'En caso de deceso por posible respuesta a tratamiento'
g,'Ante defunciones por probables reacciones a tratamiento'
a,'Comprobar diagnóstico'
a,'Verificar diagnóstico'
a,'Confirmar diagnóstico'
a,'Chequear diagnóstico'
a,'Afirmar diagnóstico'
g,'Tratamientos adecuados en base a resultados obtenidos en resultados de Patología'
g,'Tratamientos adecuados a resultados de Patología'
g,'Tratamientos coherentes con resultados patológicos'
g,'Tratamientos basados en resultados de Patología'
g,'Tratamientos relacionados con resultados de Patología'
i,'Establecer diagnóstico definitivo'
i,'Establecer diagnóstico final'
i,'Llegar a un diagnóstico definitivo'
i,'Establecer un diagnóstico conclusivo'
i,'Llegar a un diagnóstico conclusivo'
c,'Ampliar diagnósticos'
c,'Agrandar diagnósticos'
c,'Profundizar en los diagnósticos'
c,'Consolidar diagnósticos'
c,'Enriquecer diagnósticos'
a,'No se tiene con certeza el diagnóstico clínico'
a,'No se tiene con claridad el diagnóstico clínico'
a,'No se tiene un diagnóstico clínico claro'
a,'Se carece de un diagnóstico clínico claro'
a,'Se carece de un diagnóstico clínico certero'
a,'No se tiene un diagnóstico clínico definitivo'
a,'Duda diagnóstica'
a,'Incertidumbre diagnóstica'
a,'Poca claridad diagnóstica'
a,'Duda en el diagnóstico'
a,'Poca claridad en el diagnóstico'
a,'Establecer diagnóstico'
a,'Llegar a un diagnóstico'
a,'Afirmar diagnóstico'
a,'Determinar diagnóstico'
c,'Causa de la enfermedad'
c,'Motivo de la enfermedad'
c,'Causa de la patología'
c,'Motivo de la patología'
c,'Causantes de la enfermedad'
c,'Causantes de la patología'
a,'Para esclarecer un diagnóstico'
a,'Para aclarar un diagnóstico'
a,'Para afirmar un diagnóstico'
a,'Para despejar un diagnóstico'
a,'Para dar un diagnóstico'
a,'Para llegar a un diagnóstico'
a,'Para establecer un diagnóstico'
a,'Para afirmar un diagnóstico'
b,'Como cuando se van al Ministerio Público'
a,'Para confirmar diagnóstico clínico'
a,'Para profundizar en el diagnóstico clínico'
a,'Para comprobar diagnóstico clínico'
a,'Para profundizar en el diagnóstico médico'
a,'Para comprobar el diagnóstico médico'
c,'Actualmente es absolutamente necesario la realización de autopsias, ya que es probable que exista mayor impericia en muchos casos y sería una necesidad didáctica para presentar casos anatomoclínicos'
c,'Las autopsias son didácticamente necesarias para presentar casos anatomoclínicos'
c,'Las autopsias son una necesidad didáctica para presentar casos anatomoclínicos'
c,'Las autopsias permiten presentar casos anatomoclínicos didácticamente'
c,'Las autopsias facilitan la presentación didáctica de casos anatomoclínicos'
a,'Principalmente identificar las potenciales causas clínicas de la muerte en determinados pacientes contrastando los diagnósticos histopatológicos definitivos'
a,'Las autopsias permiten principalmente identificar las causas clínicas de la muerte y contrastarlas con los diagnósticos histopatológicos definitivos'
a,'Las autopsias permiten determinar las causas clínicas de la muerte y contrastarlas con los diagnósticos histopatológicos'
a,'Las autopsias ayudan a identificar las causas clínicas de muerte en contraste con los diagnósticos histopatológicos'
b,'Causas médico legales'
b,'Causas clínico legales'
b,'Causantes médico legales'
b,'Causantes clínico legales'
b,'Causas médico jurídicas'
b,'Causantes médico jurídicas'
b,'Accidentes'
b,'Heridas por proyectil de arma de fuego'
b,'Heridas por disparo de arma de fuego'
b,'Lesiones por proyectil de arma de fuego'
b,'Lesiones por disparo de arma de fuego'
b,'Heridas causadas por arma de fuego'
b,'Lesiones causadas por arma de fuego'
a,'Ante la duda de un diagnóstico'
a,'Ante la poca claridad de un diagnóstico'
a,'Ante la incertidumbre de un diagnóstico'
a,'Por dudas en el diagnóstico'
a,'Por la poca claridad de un diagnóstico'
i,'Ante casos clínicos complicados'
i,'Ante casos clínicos difíciles'
i,'Ante casos clínicos de dificultad'
i,'Ante casos médicos complicados'
i,'Ante casos de gran dificultad'
c,'Aportar conocimiento'
c,'Brindar conocimiento'
c,'Dar conocimiento'
c,'Producir conocimiento'
b,'Ante problemas médico legales'
b,'Ante problemas clínico legales'
b,'Ante problemas médico jurídicos'
b,'Ante problemas clínico jurídicos'
b,'Ante cuestiones médico legales'
b,'Ante asuntos clínico jurídicos'
d,'Ante peligro inminente de problemas epidemiológicos' 
d,'Ante riesgo inmediato de problemas epidemiológicos' 
d,'Ante peligro inminente de epidemias'
d,'Ante riesgo inmediato de epidemias'
d,'Ante peligro inmediato de incidencias epidemiológicas'
a,'Corroborar un diagnóstico clínico incierto'
a,'Corroborar un diagnóstico clínico poco claro'
a,'Verificar un diagnóstico incierto'
